name,time,arrival,country,distance,duration,iata,icao,latitude,longitude,name,temperature,weather
Traffic,1677957088629838437,AUS,US,-1,-1,TIW,KTIW,47.2664,-122.567,TACOMA NARROWS,4.2,Rain
Traffic,1677957088707736921,AUS,US,-1,-1,OLM,KOLM,46.9667,-122.9,REGIONAL,3.6,Rain
Traffic,1677957088717104914,AUS,US,-1,-1,RNT,KRNT,47.4667,-122.2,MUNICIPAL,3.91,Rain
Traffic,1677957088772470643,AUS,US,-1,-1,TCM,KTCM,47.1381,-122.477,MCCHORD FIELD,4.21,Rain
Traffic,1677957088774533010,AUS,US,-1,-1,RNT,KRNT,47.4667,-122.2,MUNICIPAL,3.91,Rain
Traffic,1677957088926330087,AUS,US,-1,-1,LKE,,47.628,-122.339,LAKE UNION SPB,4.01,Rain
Traffic,1677957089262784510,AUS,US,22044,1214,GRF,KGRF,47.0786,-122.581,GRAY AAF,4.13,Rain
Traffic,1677957089493594121,AUS,US,60934,2686,CWS,,47.485,-122.831,CENTER ISLAND,3.14,Rain
Traffic,1677957089529459241,AUS,US,-1,-1,BFI,KBFI,47.53,-122.302,BOEING FLD KING CO INT,4.22,Rain
Traffic,1677957091877762738,AUS,US,44194,1804,SEA,KSEA,47.4489,-122.309,SEATTLE TACOMA INTL,3.64,Rain
