name,time,airline_iata,airline_icao,arr_time,arr_time_utc,days,dep_time,dep_time_utc,dest,flight_duration,flight_iata,flight_icao,flight_num,iata
Data,1677957088629865416,,,,,,,,AUS,-1,,,,TIW
Data,1677957088710236626,,,,,,,,AUS,-1,,,,OLM
Data,1677957088718962492,,,,,,,,AUS,-1,,,,RNT
Data,1677957088774525198,,,,,,,,AUS,-1,,,,RNT
Data,1677957088774527698,,,,,,,,AUS,-1,,,,TCM
Data,1677957088926695759,,,,,,,,AUS,-1,,,,LKE
Data,1677957089264360790,,,,,,,,AUS,-1,,,,GRF
Data,1677957089496289135,,,,,,,,AUS,-1,,,,CWS
Data,1677957089533382206,,,,,,,,AUS,-1,,,,BFI
Data,1677957090956768249,AA,AAL,13:45,19:45,FMSaSuThTW,07:40,15:40,AUS,245,AA7417,AAL7417,7417,SEA
Data,1677957090957157306,AA,AAL,05:02,11:02,FMSaSuThTW,23:05,07:05,AUS,237,AA7418,AAL7418,7418,SEA
Data,1677957090957157358,AA,AAL,05:00,11:00,FMSaSuThTW,23:00,07:00,AUS,240,AA7447,AAL7447,7447,SEA
Data,1677957090957652091,AA,AAL,17:44,23:44,FMSaSuThTW,11:40,19:40,AUS,244,AA7451,AAL7451,7451,SEA
Data,1677957090958801710,AS,ASA,17:44,23:44,FMSaSuThTW,11:40,19:40,AUS,244,AS318,ASA318,318,SEA
Data,1677957090958963843,AS,ASA,23:59,05:59,FMSaSuThTW,18:00,02:00,AUS,239,AS1146,ASA1146,1146,SEA
Data,1677957090959304463,AS,ASA,05:00,11:00,FMSaSuThTW,23:00,07:00,AUS,240,AS424,ASA424,424,SEA
Data,1677957090960467884,AS,ASA,05:02,11:02,FMSaSuThTW,23:05,07:05,AUS,237,AS428,ASA428,428,SEA
Data,1677957090961460422,AS,ASA,13:45,19:45,FMSaSuThTW,07:40,15:40,AUS,245,AS502,ASA502,502,SEA
Data,1677957090961836928,DL,DAL,15:44,21:44,FMSaSuThTW,09:45,17:45,AUS,239,DL1289,DAL1289,1289,SEA
Data,1677957090962564886,DL,DAL,23:38,05:38,FMSaThTW,17:45,01:45,AUS,233,DL420,DAL420,420,SEA
Data,1677957090962990713,DL,DAL,00:16,06:16,Su,18:20,02:20,AUS,236,DL420,DAL420,420,SEA
Data,1677957090963615132,DL,DAL,23:44,05:44,FMSaSuThTW,17:50,01:50,AUS,234,DL438,DAL438,438,SEA
Data,1677957090964435120,JL,JAL,23:59,05:59,FMSaSuThTW,18:00,02:00,AUS,239,JL6348,JAL6348,6348,SEA
Data,1677957090965510053,KE,KAL,23:38,05:38,FMSaThTW,17:45,01:45,AUS,233,KE3005,KAL3005,3005,SEA
Data,1677957090966652849,KE,KAL,00:16,06:16,Su,18:20,02:20,AUS,236,KE3005,KAL3005,3005,SEA
Data,1677957090966768733,KE,KAL,15:44,21:44,MSaTh,09:45,17:45,AUS,239,KE3062,KAL3062,3062,SEA
Data,1677957090967798302,KL,KLM,15:44,21:44,MSaTh,09:45,17:45,AUS,239,KL6613,KLM6613,6613,SEA
Data,1677957090967830749,KE,KAL,17:44,23:44,FMSaSuThTW,11:40,19:40,AUS,244,KE6129,KAL6129,6129,SEA
Data,1677957090969149429,TN,THT,17:43,23:43,SaTW,11:45,19:45,AUS,238,TN2310,THT2310,2310,SEA
Data,1677957090971017475,SQ,SIA,23:59,05:59,F,18:00,02:00,AUS,239,SQ1214,SIA1214,1214,SEA
Data,1677957090972416049,SQ,SIA,17:44,23:44,SaThT,11:40,19:40,AUS,244,SQ1214,SIA1214,1214,SEA
Data,1677957090973125102,WS,WJA,23:38,05:38,FMSaThTW,17:45,01:45,AUS,233,WS7705,WJA7705,7705,SEA
Data,1677957090973371088,QR,QTR,05:00,11:00,FMSaSuThTW,23:00,07:00,AUS,240,QR3324,QTR3324,3324,SEA
Data,1677957090973582127,WS,WJA,15:44,21:44,FMSaSuThTW,09:45,17:45,AUS,239,WS7471,WJA7471,7471,SEA
Data,1677957090973917070,TN,THT,13:45,19:45,FMSaSuThTW,07:40,15:40,AUS,245,TN2545,THT2545,2545,SEA
Data,1677957090974009985,TN,THT,13:45,19:45,FMSaSuTW,07:45,15:45,AUS,240,TN2432,THT2432,2432,SEA
Data,1677957090974217899,TN,THT,17:43,23:43,FMSu,11:45,19:45,AUS,238,TN2427,THT2427,2427,SEA
Data,1677957090974258107,TN,THT,17:44,23:44,FMSaSuThTW,11:40,19:40,AUS,244,TN2544,THT2544,2544,SEA
Data,1677957091877762790,,,,,,,,AUS,-1,,,,SEA
